blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Ezreal	Graves	Orianna	Karma	Camille	Twitch	Elise	Aurelion Sol	Annie	Gragas	Shen	Kennen	LeBlanc	Thresh	Zyra	Varus	Syndra	Malzahar	Ashe	Caitlyn	EULCS	1
Tristana	Kha'zix	Syndra	Thresh	Shen	Ezreal	Elise	Ekko	Lulu	Kennen	Varus	Malzahar		Ashe	Caitlyn	LeBlanc	Camille	Aurelion Sol	Twitch	Kalista	EULCS	0
Tristana	Lee Sin	Kayle	Camille	Shen	Ashe	Elise	Cassiopeia	Thresh	Gangplank	Orianna	Varus	Syndra	Malzahar	Caitlyn	Aurelion Sol	LeBlanc	Kennen	Twitch	Kalista	EULCS	0
Ezreal	Graves	LeBlanc	Karma	Shen	Ashe	Kha'zix	Kassadin	Lulu	Gragas	Lee Sin	Elise	Rengar	Nautilus	Syndra	Rumble	Kennen	Ivern	Varus	Kalista	NALCS	0
Varus	Elise	Syndra	Zyra	Jarvan IV	Ashe	Kha'zix	Ekko	Lulu	Nautilus	Lee Sin	Graves	Rengar	Shen	LeBlanc	Rumble	Kennen	Renekton	Kassadin	Fizz	NALCS	0
Ashe	Gragas	Talon	Braum	Rumble	Lucian	Graves	Syndra	Karma	Nautilus	LeBlanc	Camille	Lulu	Fizz	Dr. Mundo	Shen	Rengar	Malzahar	Zyra	Elise	NALCS	0
Ashe	Ivern	Orianna	Karma	Kennen	Varus	Lee Sin	Syndra	Lulu	Renekton	LeBlanc	Camille	Graves	Ezreal	Lucian	Shen	Rengar	Rumble	Kha'zix	Gragas	NALCS	0
Ashe	Kha'zix	Orianna	Zyra	Maokai	Varus	Graves	Taliyah	Lulu	Nautilus	Camille	LeBlanc	Syndra	Ezreal	Lucian	Shen	Rengar	Rumble	Karma	Kennen	NALCS	0
Varus	Graves	Corki	Thresh	Camille	Lucian	Gragas	LeBlanc	Tahm Kench	Renekton	Rengar	Shen	Malzahar	Zyra	Caitlyn	Syndra	Lee Sin	Elise	Twisted Fate	Lulu	EULCS	0
Lucian	Graves	Vladimir	Braum	Rumble	Caitlyn	Rengar	Orianna	Lulu	Fizz	Syndra	Lee Sin	Elise	Karma	Kalista	Shen	Malzahar	LeBlanc	Zyra		EULCS	1
Ashe	Rengar	Lulu	Karma	Kennen	Lucian	Graves	LeBlanc	Thresh	Rumble	Shen	Malzahar	Camille	Varus	Caitlyn	Syndra	Lee Sin	Elise	Gragas	Twisted Fate	EULCS	1
Jhin	Rengar	Vladimir	Tahm Kench	Rumble	Ashe	Graves	Kayle	Zyra	Gragas	Syndra	Lee Sin	Elise	Karma	Lulu	Shen	Malzahar	LeBlanc	Varus	Caitlyn	EULCS	1
Varus	Rengar	Karma	Zyra	Rumble	Ashe	Lee Sin	Taliyah	Lulu	Gragas	Syndra	Malzahar	Fizz	Orianna	LeBlanc	Kennen	Graves	Kalista	Cassiopeia	Ahri	LMS	1
Varus	Rengar	Taliyah	Nami	Rumble	Ashe	Lee Sin	Ahri	Karma	Gragas	Syndra	Fizz	Malzahar	Orianna	LeBlanc	Kennen	Graves	Camille	Cassiopeia	Zyra	LMS	0
Varus	Rengar	Taliyah	Lulu	Rumble	Ashe	Lee Sin	Ahri	Karma	Gragas	Syndra	Malzahar	Fizz	Orianna	LeBlanc	Kennen	Graves	Camille	Cassiopeia	Zyra	LMS	0
Varus	Lee Sin	Orianna	Nami	Nautilus	Ashe	Rengar	Zilean	Zyra	Renekton	Kennen	Kalista	Camille	Taliyah	Ahri	Syndra	Graves	Rumble	Karma	Gragas	LMS	1
